date,messages
11/16/2022,6239
11/17/2022,3421
11/18/2022,3490
11/19/2022,5443
11/20/2022,3025
11/21/2022,3828
11/22/2022,2902
11/23/2022,4800
11/24/2022,4931
11/25/2022,5687
11/26/2022,5516
11/27/2022,4668
11/28/2022,9466
11/29/2022,5028
11/30/2022,5318
12/1/2022,8576
12/2/2022,7174
12/3/2022,7017
12/4/2022,7902
12/5/2022,5412
12/6/2022,4716
12/7/2022,4218
12/8/2022,4831
12/9/2022,3100
12/10/2022,3946
12/11/2022,7461
12/12/2022,3169
12/13/2022,3319
12/14/2022,5336
12/15/2022,2813
12/16/2022,4598
12/17/2022,3092
12/18/2022,4668
12/19/2022,3965
12/20/2022,3659
12/21/2022,3368
12/22/2022,2309
12/23/2022,4100
12/24/2022,4271
12/25/2022,4002
12/26/2022,3961
12/27/2022,4000
12/28/2022,3231
12/29/2022,3183
12/30/2022,4205
12/31/2022,3752
